"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 08, 2021","131.08","132.49","132.60","130.28","36.54M","0.12%"
"Jan 07, 2021","130.92","128.41","131.62","127.88","109.58M","3.41%"
"Jan 06, 2021","126.60","127.52","131.03","126.47","155.09M","-3.37%"
"Jan 05, 2021","131.01","129.00","131.71","128.53","97.66M","1.24%"
"Jan 04, 2021","129.41","133.45","133.60","126.80","143.30M","-2.47%"
"Dec 31, 2020","132.69","134.08","134.74","131.72","99.12M","-0.77%"
"Dec 30, 2020","133.72","135.71","135.96","133.40","96.45M","-0.85%"
"Dec 29, 2020","134.87","138.05","138.78","134.36","121.05M","-1.33%"
"Dec 28, 2020","136.69","133.99","137.34","133.52","124.49M","3.58%"
"Dec 24, 2020","131.97","131.32","133.46","131.10","54.93M","0.77%"
"Dec 23, 2020","130.96","132.18","132.32","130.83","88.22M","-0.70%"
"Dec 22, 2020","131.88","131.68","134.40","129.66","169.35M","2.85%"
"Dec 21, 2020","128.23","125.03","128.26","123.47","121.25M","1.24%"
"Dec 18, 2020","126.65","128.96","129.10","126.12","192.54M","-1.59%"
"Dec 17, 2020","128.70","129.00","129.52","128.05","94.36M","0.70%"
"Dec 16, 2020","127.81","127.41","128.37","126.56","96.93M","-0.05%"
"Dec 15, 2020","127.88","124.26","127.89","124.15","157.57M","5.01%"
"Dec 14, 2020","121.78","122.54","123.32","121.72","79.08M","-0.51%"
"Dec 11, 2020","122.41","122.43","122.76","120.55","86.94M","-0.67%"
"Dec 10, 2020","123.24","120.37","123.86","120.37","81.31M","1.20%"
"Dec 09, 2020","121.78","124.49","125.93","121.07","115.09M","-2.09%"
"Dec 08, 2020","124.38","124.30","124.98","123.11","82.23M","0.51%"